YER125W YMR275C
YER125W YMR316W
YER125W YOR322C
YER125W YOR385W
YER125W YLL039C
YMR032W YBR260C
YMR032W YDL117W
YMR032W YLR119W
YMR032W YNL152W
YER144C YIL095W
YER144C YBR260C
YER086W YMR308C
YER086W YDR361C
YER086W YOR160W
YDR256C YNL189W
YDR256C YMR033W
YMR095C YHR134W
YMR095C YDR142C
YMR095C YFL060C
YMR095C YMR096W
YMR095C YNL333W
YMR095C YNL334C
YPL088W YPL125W
YPL088W YMR308C
YPL088W YNL189W
YPL088W YNL098C
YPL088W YOR160W
YML042W YER056C-A
YML042W YGL187C
YML042W YDR244W
YLL001W YIL153W
YJL218W YDR132C
YJL218W YJR121W
YNL044W YGL153W
YNL044W YNL263C
YNL044W YNL315C
YNL044W YDL164C
YNL044W YGR177C
YNL044W YHR105W
YNL044W YLR026C
YNL044W YDR244W
YIL074C YNL311C
YIL074C YER081W
YHR111W YML110C
YHR111W YIL008W
YGR267C YLR132C
YGR267C YMR308C
YGR267C YNL189W
YHR112C YNL189W
YHR112C YGR024C
YKL025C YER018C
YKL025C YCR020C-A
YKL025C YGL094C
YKL025C YGL124C
YLR386W YPL268W
YLR386W YDR296W
YLR386W YJL090C
YLR386W YDL044C
YLR386W YGR061C
YLR386W YJR021C
YGL153W YDL239C
YGL153W YNL086W
YGL153W YOL145C
YGL153W YDR036C
YGL153W YDR142C
YGL153W YDR195W
YGL153W YDR373W
YGL153W YER056C-A
YGL153W YMR267W
YNL025C YNL094W
YNL025C YPL031C
YNL025C YDL108W
YBL058W YDL190C
YBL058W YFL044C
YBL058W YNL155W
YOR380W YMR314W
YOR380W YDL239C
YOR380W YGR261C
YOR380W YJL025W
YOR380W YMR308C
YOR380W YNL189W
YOR380W YPL031C
YOR380W YKL019W
YNR012W YDL239C
YNR012W YHR128W
YNR012W YPL031C
YNR012W YKL071W
YNR012W YDR020C
YBL023C YDR473C
YBL023C YMR314W
YBL023C YDR122W
YBL023C YLR096W
YBL023C YPL144W
