YAL005C YPL145C
YAL005C YPL147W
YAL005C YPL176C
YAL005C YPL180W
YAL005C YPL201C
YAL005C YPL232W
YAL005C YPL234C
YAL005C YPL249C
YAL005C YPL259C
YAL005C YPL265W
YAL005C YPR010C
YAL005C YPR028W
YAL005C YPR049C
YAL005C YPR055W
YAL005C YPR095C
YAL005C YPR113W
YAL005C YPR114W
YAL005C YPR128C
YAL005C YPR138C
YAL005C YPR155C
YAL005C YPR156C
YAL005C YPR159W
YAL005C YPR183W
YAL005C YPR198W
YDL229W YDR498C
YDL229W YDL145C
YDL229W YML067C
YDL229W YAL053W
YDL229W YAR031W
YDL229W YAR042W
YDL229W YBR015C
YDL229W YBR042C
YDL229W YBR068C
YDL229W YBR179C
YDL229W YBR185C
YDL229W YBR196C
YDL229W YBR281C
YDL229W YBR287W
YDL229W YCR024C-A
YDL229W YCR034W
YDL229W YCR043C
YDL229W YCR044C
YDL229W YDL015C
YDL229W YDL067C
YDL229W YDL072C
YDL229W YDL074C
YDL229W YDL126C
YDL229W YDL206W
YDL229W YDL212W
YDL229W YDR011W
YDL229W YDR027C
YDL229W YDR055W
YDL229W YDR164C
YDL229W YDR166C
YDL229W YDR179C
YDL229W YDR233C
YDL229W YDR245W
YDL229W YDR284C
YDL229W YDR342C
YDL229W YDR352W
YDL229W YDR367W
YDL229W YDR406W
YDL229W YDR407C
YDL229W YDR479C
YDL229W YDR484W
YDL229W YDR508C
YDL229W YDR513W
YDL229W YDR519W
YDL229W YEL001C
YDL229W YEL036C
YDL229W YEL041W
YDL229W YEL059C-A
YDL229W YEL077C
YDL229W YER001W
YDL229W YER053C
YDL229W YER087C-B
YDL229W YER093C
YDL229W YER182W
YDL229W YFL004W
YDL229W YFL007W
YDL229W YFL041W
YDL229W YFR016C
YDL229W YFR024C-A
YDL229W YGL012W
YDL229W YGL027C
YDL229W YGL054C
YDL229W YGL085W
YDL229W YGL115W
YDL229W YGL155W
YDL229W YGL172W
YDL229W YGL195W
YDL229W YGL200C
YDL229W YGL212W
YDL229W YGR012W
YDL229W YGR055W
YDL229W YGR060W
YDL229W YGR166W
YDL229W YGR174C
YDL229W YGR231C
YDL229W YGR235C
YDL229W YGR257C
YDL229W YGR277C
YDL229W YGR284C
YDL229W YHL002W
YDL229W YHL019C
YDL229W YHL026C
YDL229W YHR009C
YDL229W YHR042W
YDL229W YHR063C
YDL229W YHR094C
YDL229W YHR108W
YDL229W YHR117W
YDL229W YHR120W
YDL229W YHR162W
YDL229W YIL013C
YDL229W YIL014W
YDL229W YIL047C
YDL229W YIL077C
YDL229W YIL145C
YDL229W YIR024C
YDL229W YJL034W
YDL229W YJL073W
YDL229W YJL093C
YDL229W YJL178C
YDL229W YJL183W
YDL229W YJL196C
YDL229W YJL198W
YDL229W YJL212C
YDL229W YJR075W
YDL229W YJR095W
YDL229W YJR126C
YDL229W YJR143C
YDL229W YKL020C
YDL229W YKL046C
YDL229W YKL077W
YDL229W YKL120W
YDL229W YKL129C
YDL229W YKL195W
YDL229W YKR105C
YDL229W YLL006W
YDL229W YLL012W
YDL229W YLL023C
YDL229W YLL031C
YDL229W YLL048C
YDL229W YLR001C
YDL229W YLR004C
YDL229W YLR066W
YDL229W YLR084C
YDL229W YLR093C
YDL229W YLR110C
YDL229W YLR139C
YDL229W YLR166C
YDL229W YLR191W
YDL229W YLR292C
YDL229W YLR343W
YDL229W YLR348C
YDL229W YLR350W
YDL229W YLR372W
YDL229W YLR413W
YDL229W YML002W
YDL229W YML008C
YDL229W YML013W
YDL229W YML028W
YDL229W YML031W
YDL229W YML038C
YDL229W YML048W
YDL229W YML097C
YDL229W YMR054W
YDL229W YMR109W
YDL229W YMR149W
YDL229W YMR202W
YDL229W YMR208W
YDL229W YMR218C
YDL229W YMR238W
YDL229W YMR241W
YDL229W YMR306W
YDL229W YNL087W
YDL229W YNL257C
YDL229W YNL268W
YDL229W YNL280C
